Part,Price,Condition/Notes,Priority,Status
Example: Front Brake Rotor Set - Toyota Camry 2015-2019,45,New aftermarket - in stock x6,High,Pending
Example: Alternator - Honda Civic 2012-2015,85,Reconditioned OEM - tested,Medium,Pending
Alternator - 2003 Nissan PathFinder,146.04,"3688% margin, 1 in stock (salvage - one-off)",High,Posted - 2026-07-03
Alternator - 2009 GMC Terrain,189.24,"3285% margin, 1 in stock (salvage - one-off)",High,Posted - 2026-07-03
Alternator - 2007 Audi A4 2.0T,177.09,"2239% margin, 1 in stock (salvage - one-off)",High,Pending
Alternator - 2008 Nissan Armada,167.14,"2127% margin, 1 in stock (salvage - one-off)",High,Pending
Alternator - 2006 BMW 525I,181.39,"2107% margin, 1 in stock (salvage - one-off)",High,Pending
Engine Assembly - 2013 BMW X6 35,2424.29,"1178% margin, $2630 sale price, 1 in stock (salvage - one-off)",High,Pending
Engine Assembly - 2013 BMW 535I,2262.20,"760% margin, $2560 sale price, 1 in stock (salvage - one-off)",High,Pending
Engine Assembly - 2012 Mercedes-Benz E350 Coupe,2251.97,"796% margin, $2535 sale price, 1 in stock (salvage - one-off)",High,Pending
Engine Assembly - 2010 BMW X3 3.0,2365.77,"1640% margin, $2510 sale price, 1 in stock (salvage - one-off)",High,Pending
Engine Assembly - 2012 BMW 750I,2114.35,"640% margin, $2445 sale price, 1 in stock (salvage - one-off)",High,Pending
